,ITTER107,Territorio,TIPO_DATO_CENERG,Tipo dato,DOTAZIONI_A,Fonte alimentazione,TIME,Seleziona periodo,Value,Flag Codes,Flags
94,ITD1,Bolzano,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ALL,tutte le voci,2013,2013,346754.0,,
95,ITD1,Bolzano,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),H_OIL,gasolio,2013,2013,72564.0,,
96,ITD1,Bolzano,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,11236.0,,
97,ITD1,Bolzano,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ELECTR,energia elettrica,2013,2013,117543.0,,
98,ITD1,Bolzano,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),METAN,metano,2013,2013,114733.0,,
99,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),H_OIL,gasolio,2013,2013,1534.0,,
100,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,245.0,,
101,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),ELECTR,energia elettrica,2013,2013,556.0,,
102,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),METAN,metano,2013,2013,1049.0,,
103,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),FIREWOOD,legna,2013,2013,391.0,,
104,ITD1,Bolzano,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),PELLETS,pellets,2013,2013,578.0,,
