,ITTER107,Territorio,TIPO_DATO_CENERG,Tipo dato,DOTAZIONI_A,Fonte alimentazione,TIME,Seleziona periodo,Value,Flag Codes,Flags
0,IT,Italia,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ALL,tutte le voci,2013,2013,42302968.0,,
1,IT,Italia,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),H_OIL,gasolio,2013,2013,1694455.0,,
2,IT,Italia,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,2437978.0,,
3,IT,Italia,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ELECTR,energia elettrica,2013,2013,15035032.0,,
4,IT,Italia,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),METAN,metano,2013,2013,21080936.0,,
5,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),H_OIL,gasolio,2013,2013,1398.0,,
6,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,449.0,,
7,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),ELECTR,energia elettrica,2013,2013,581.0,,
8,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),METAN,metano,2013,2013,1004.0,,
9,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),FIREWOOD,legna,2013,2013,457.0,,
10,IT,Italia,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),PELLETS,pellets,2013,2013,459.0,,
11,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),H_OIL,gasolio,2013,2013,1200.0,,
12,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,250.0,,
13,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),ELECTR,energia elettrica,2013,2013,480.0,,
14,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),METAN,metano,2013,2013,900.0,,
15,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),FIREWOOD,legna,2013,2013,360.0,,
16,IT,Italia,ENER_SOUR_EXP_MED,spesa mediana delle famiglie per consumi energetici per fonte (euro),PELLETS,pellets,2013,2013,400.0,,
