,ITTER107,Territorio,TIPO_DATO_CENERG,Tipo dato,DOTAZIONI_A,Fonte alimentazione,TIME,Seleziona periodo,Value,Flag Codes,Flags
193,ITE4,Lazio,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ALL,tutte le voci,2013,2013,3693710.0,,
194,ITE4,Lazio,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),H_OIL,gasolio,2013,2013,98630.0,,
195,ITE4,Lazio,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,219912.0,,
196,ITE4,Lazio,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),ELECTR,energia elettrica,2013,2013,1470901.0,,
197,ITE4,Lazio,ENER_SOUR_EXP,spese delle famiglie per consumi energetici per fonte (migliaia di euro),METAN,metano,2013,2013,1739425.0,,
198,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),H_OIL,gasolio,2013,2013,1013.0,,
199,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),LPG,Gpl (Gas Petrolio Liquefatto),2013,2013,564.0,,
200,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),ELECTR,energia elettrica,2013,2013,555.0,,
201,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),METAN,metano,2013,2013,755.0,,
202,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),FIREWOOD,legna,2013,2013,383.0,,
203,ITE4,Lazio,ENER_SOUR_EXP_AV,spesa media effettiva delle famiglie per consumi energetici per fonte (euro),PELLETS,pellets,2013,2013,370.0,,
