Unnamed: 0;ITTER107;Territorio;TIPO_DATO_CENERG;Tipo dato;DOTAZIONI_A;Fonte alimentazione;TIME;Seleziona periodo;Value;Flag Codes;Flags
215;ITF1;Abruzzo;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;899437.0;;
216;ITF1;Abruzzo;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;;n;dato statisticamente non significativo (vedasi metadati di dataset)
217;ITF1;Abruzzo;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;42889.0;;
218;ITF1;Abruzzo;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;310286.0;;
219;ITF1;Abruzzo;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;458222.0;;
220;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;505.0;;
221;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;546.0;;
222;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;552.0;;
223;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;922.0;;
224;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;518.0;;
225;ITF1;Abruzzo;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;539.0;;
259;ITF5;Basilicata;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;346481.0;;
260;ITF5;Basilicata;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;;n;dato statisticamente non significativo (vedasi metadati di dataset)
261;ITF5;Basilicata;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;20432.0;;
262;ITF5;Basilicata;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;121253.0;;
263;ITF5;Basilicata;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;159611.0;;
264;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;2502.0;;
265;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;376.0;;
266;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;520.0;;
267;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;858.0;;
